session,year,country,sentence,split,gold
63,2008,AUS,The quantum of government intervention in  financial markets has been significant.,dev,NET
35,1980,MNG,"The basis for such a settlement is contained in the proposals put forward by the Government of the Democratic Republic of Afghanistan on 14 May of this year, Cessation of the counterrevolutionary intervention is the basic prerequisite for achieving that goal.",dev,NEG
38,1983,GTM,"Its guiding principles are based on the ideals of democracy and respect for human, civil, political, economic, social and cultural rights; international co-operation as a prime factor in accelerating the integrated, harmonious development of peoples; the elimination of the social injustice which exists in today's world; solidarity with just causes and attachment to the principles of international law, foremost among them those of the sovereign equality of all nations, non-intervention in the internal affairs of other States, territorial integrity, the peaceful settlement of international disputes, the self- determination of peoples and the fostering of international social justice.",dev,POS
72,2017,PAK,"Apart from the people of Afghanistan, Pakistan and its people have suffered the most from four decades of foreign intervention and civil wars in Afghanistan.",dev,NEG
1,1946,YUG,"The intervention of Italo-German armies in Spain, from 1936 to 1939, gave rise to the greatest tragedy in Spanish history.",dev,NEG
16,1961,COD,"We venture to hope that the Secretary-General did not sacrifice his life in vain, and that Mr, Tshomb6 now understands the true reasons for the United Nations intervention in the Congo.",dev,POS
28,1973,GRC,"On the question of bringing peace to Indo-China, I shall confine myself to expressing the fervent hope that the agreements and the communiques ensuring peace will be scrupulously applied by all the parties in order to ensure that the so-sorely-tried peoples of that region of the world can live in peace and in respect for human dignity, and that the political will of those peoples will be freely expressed without any foreign intervention.",dev,NEG
30,1975,GHA,"The Government of Ghana sees this as a matter of plain logic, amply dictated and supported by the trends of our time, that the ending of foreign military intervention in Viet Nam should have been acknowledged by the admission into the United Nations of those two States.",dev,POS
69,2014,SEN,"Macky Sall, President of the Republic  of Senegal, before the General Assembly and to deliver  this intervention on his behalf.",dev,NET
38,1983,CMR,"In addition to these long-standing situations so fraught with danger to peace and security, there are new crises caused by foreign intervention in the Mediterranean and in South-West Asia.",dev,NEG
36,1981,EGY,Two years have elapsed since the Soviet intervention in Afghanistan.,dev,NEG
67,2012,AFG,"For decades we had suffered, unnoticed, from violence, deprivation and sinister foreign intervention.",dev,NEG
41,1986,DZA,"The peoples and States of the region must be able to live in harmony among themselves and with others, free from unjustifiable foreign intervention.",dev,NEG
40,1985,COD,"The massive supply of such weapons to States that base their philosophy on expansionism, domination and intervention in the internal affairs of other States increases the danger of confrontation between States and prompts such over-armed States to launch attacks and commit acts of aggression against other states less well-armed and therefore more vulnerable.",dev,NEG
43,1988,BGD,This needs to be backed by international support and intervention.,dev,POS
44,1989,HTI,"With regard to Lebanon, the Republic of Haiti, cardinal principles of whose foreign policy have always been non-intervention in the internal affairs of States and respect for the right of peoples to decide for themselves, is following with growing alarm the evolution of the situation in that martyred country.",dev,NEG
33,1978,SDN,"Since the awakening of Africa, colonialism has openly resorted to intervention in the internal affairs of the African States in order to safeguard its own interests.",dev,NET
75,2020,MOZ,"Other global phenomena and challenges calling for the United Nations’ led multilateral intervention, include terrorism, climate change, cybersecurity, public health, research and development, trade and industrialization.",dev,POS
37,1982,PAN,Everything is ripe for a conflagration  which could involve the entire region and be a  pretext for open intervention by outside Powers  and an international conflict of enormous  proportions and complexity.,dev,NEG
45,1990,AFG,"Although facing difficult economic conditions and a complicated military situation arising from intervention and aggression by Pakistan, the Republic of Afghanistan has taken specific steps to attack the problem.",test,NEG
41,1986,ALB,"Moreover, the new theories and concepts advocated by Washington and Moscow -such as ""neo-globalism"" and a ""global system of security"" - really differ only in form from the old ones and are basically just a means of justifying local conflicts, blackmail, the nuclear threat and even direct armed intervention against sovereign peoples and countries.",test,NEG
24,1969,ALB,"The Albanian delegation deems it necessary to stress once again that, in its view, Member States which are seriously interested in respecting the principle of the sovereign equality of States, non-intervention in domestic affairs, observance of the territorial integrity of other States and respect for the rights of peoples to self-determination cannot fail to dissociate themselves from the two great Powers in their treacherous and aggressive plans, which are dictated by the aims of their imperialist policy of dividing the world into spheres of influence and thus dominating it.",test,NEG
21,1966,DZA,"Under the circumstances, to apply the same criterion to acts of natural solidarity between parts of one country and military intervention of the United States of America would be to present the problem in terms that would jeopardize any search for a solution.",test,NEG
36,1981,MYS,"Soviet intervention in Afghanistan, the Vietnamese intervention in Kampuchea, the Chinese incursion into Viet Nam, that of South Africa into Namibia and of Israel into Iraq and Lebanon provide only a few, but nevertheless glaring, examples of this, though more subtle interventions have taken place in other parts of the world.",test,NEG
23,1968,BEL,"That is why the principle of non-intervention in the domestic affairs of other States, of non-interference, of unwarranted intervention, must in face of the facts be respected with special strictness by those who have asked the rest of the world to sanction their power and to repose special confidence in them.",test,NEG
31,1976,LBN,Should we deal with the principles of non-intervention in the internal affairs of States and of safeguarding their independence and sovereignty at a time when our sovereignty has been torn to shreds and intervention in our affairs has become so flagrant? Are we to discourse on the responsibility of the United Nations to protect the small and the weak among its Members at a time when the faith of international public opinion in the United Nations ability to perform this primary duty has been shaken? Or are we expected to discuss the new international economic order and social development when the thriving economic life of Lebanon has come to a standstill? 55.,test,NEG
19,1964,NER,"Unswervingly committed to the principle of non-interference, we roundly and unequivocally condemn all forms of intervention, regardless of their origin.",test,NEG
2,1947,UKR,"This aimed intervention by the United Kingdom has upset the peace and tranquillity of Greece after its liberation from the German aggresors, and has led to civil war, the outcome of which is the political bankruptcy of the monarchist and fascist regime and the collapse of British policy.",test,NEG
31,1976,TUN,"On the contrary, the hostility of the Government of Israel continues to pursue the Palestinians, not only inside occupied Palestine but even in Lebanon, where its disguised intervention and its intrigues are contributing to the worsening of an already complex situation, a situation that is all the more dangerous because it involves grave risks and a direct threat to international peace and security.",test,NEG
28,1973,ARE,We have pledged ourselves to act together to defend our independence and resist any foreign intervention in our affairs from whatever source.,test,NEG
40,1985,COG,I shall borrow the final words of my intervention from the admirable recommendation made by the former Presidents of the General Assembly at their meeting held under the auspices of the United Nations Institute for Training and Research (UNITAR) last June.,test,NET
35,1980,MDV,"It is our view that the principle of non-intervention in the internal affairs of countries should be upheld, even when moral, national or other justifications may tempt some of us to violate it.",test,NEG
37,1982,GRD,"The improper  intervention into the negotiation process by the United States,  through its irrelevant demand for the withdrawal of Cuban troops from  Angola as a pre-condition for the granting of independence to  Namibia, is largely responsible for the present impasse.",test,NEG
27,1972,POL,"In our opinion, conditions have now been created in Europe for the establishment of a system of commitments to safeguard the inviolability of existing frontiers and ensure respect for the territorial integrity of all States, the non-use of force and the elimination of the threat of its use in inter-State relations, while confirming the principles of the equality and sovereignty of States and non-intervention in the internal affairs of other States.",test,POS
40,1985,MEX,In our judgment the principle of non-intervention admits of no exception.,test,NEG
39,1984,ECU,"Similarly, Ecuador rejects any form of violence, destabilization of States, intervention or deployment of forces of any foreign origin in Central America.",test,NEG
49,1994,ATG,"In each of the countries where the Security Council took action, there was clearly a need for humanitarian intervention.",test,POS
48,1993,VCT,"Stressing our commitment to the goal of the complete eradication of colonialism, we once again pledge to strengthen our solidarity with all those countries facing aggression or intervention or interference in their internal affairs.",test,NEG
42,1987,CYP,"It is basically a problem of invasion and occupation, of foreign intervention, of colonization of the occupied part by settlers from Turkey and of an attempt to destroy the culture and civilization of the country for the first time in its history of thousands of years.",test,NEG
36,1981,RUS,"It is necessary to condemn those actions, to demand that South Africa cease its armed intervention and to adopt international sanctions against it.",test,NEG
56,2001,NZL,The groups now protesting against military intervention were silent while this human catastrophe was unfolding over the last few years.,test,POS
49,1994,COD,The current situation in countries bordering Rwanda meets all the preconditions for preventive intervention by the international community.,test,POS
